Key,Resolution Time,Blocked,Member Efficiency per ticket,Sprint Overdue,Days to Sprint End,Total Story Points per Sprint and team,Total Story Points per Member per Sprint,Average Team Efficiency per Sprint,Block Rate by Issue Type,Estimation Accurate,Parent Key_NGP-1011,Parent Key_NGP-1025,Parent Key_NGP-1035,Parent Key_NGP-1036,Parent Key_NGP-1037,Parent Key_NGP-1043,Parent Key_NGP-1055,Parent Key_NGP-1067,Parent Key_NGP-1070,Parent Key_NGP-1074,Parent Key_NGP-1092,Parent Key_NGP-1093,Parent Key_NGP-1107,Parent Key_NGP-1112,Parent Key_NGP-1147,Parent Key_NGP-1363,Parent Key_NGP-1402,Parent Key_NGP-1420,Parent Key_NGP-1449,Parent Key_NGP-1452,Parent Key_NGP-1489,Parent Key_NGP-1525,Parent Key_NGP-1528,Parent Key_NGP-1533,Parent Key_NGP-1550,Parent Key_NGP-1591,Parent Key_NGP-1598,Parent Key_NGP-1610,Parent Key_NGP-1624,Parent Key_NGP-1642,Parent Key_NGP-1647,Parent Key_NGP-1671,Parent Key_NGP-1672,Parent Key_NGP-1673,Parent Key_NGP-1709,Parent Key_NGP-1711,Parent Key_NGP-1727,Parent Key_NGP-1747,Parent Key_NGP-1750,Parent Key_NGP-1752,Parent Key_NGP-1753,Parent Key_NGP-1754,Parent Key_NGP-1756,Parent Key_NGP-1762,Parent Key_NGP-1774,Parent Key_NGP-1789,Parent Key_NGP-1806,Parent Key_NGP-1817,Parent Key_NGP-1819,Parent Key_NGP-1835,Parent Key_NGP-1838,Parent Key_NGP-1839,Parent Key_NGP-1840,Parent Key_NGP-1848,Parent Key_NGP-1867,Parent Key_NGP-1881,Parent Key_NGP-1882,Parent Key_NGP-1888,Parent Key_NGP-1890,Parent Key_NGP-1896,Parent Key_NGP-1898,Parent Key_NGP-2004,Parent Key_NGP-2009,Parent Key_NGP-2011,Parent Key_NGP-2022,Parent Key_NGP-2025,Parent Key_NGP-2064,Parent Key_NGP-2065,Parent Key_NGP-2074,Parent Key_NGP-2084,Parent Key_NGP-2093,Parent Key_NGP-2098,Parent Key_NGP-2099,Parent Key_NGP-2139,Parent Key_NGP-2150,Parent Key_NGP-2155,Parent Key_NGP-2194,Parent Key_NGP-2215,Parent Key_NGP-2233,Parent Key_NGP-2250,Parent Key_NGP-2265,Parent Key_NGP-2294,Parent Key_NGP-2296,Parent Key_NGP-2317,Parent Key_NGP-2338,Parent Key_NGP-2361,Parent Key_NGP-2362,Parent Key_NGP-2373,Parent Key_NGP-2457,Parent Key_NGP-2495,Parent Key_NGP-2506,Parent Key_NGP-2512,Parent Key_NGP-2530,Parent Key_NGP-2568,Parent Key_NGP-2623,Parent Key_NGP-2656,Parent Key_NGP-2668,Parent Key_NGP-2673,Parent Key_NGP-2689,Parent Key_NGP-2705,Parent Key_NGP-2706,Parent Key_NGP-2732,Parent Key_NGP-2739,Parent Key_NGP-2749,Parent Key_NGP-2755,Parent Key_NGP-2756,Parent Key_NGP-2757,Parent Key_NGP-2769,Parent Key_NGP-2785,Parent Key_NGP-2799,Parent Key_NGP-2805,Parent Key_NGP-2852,Parent Key_NGP-2861,Parent Key_NGP-2863,Parent Key_NGP-2947,Parent Key_NGP-893,Parent Key_NGP-894,Parent Key_NGP-897,Parent Key_NGP-899,Parent Key_NGP-902,Parent Key_NGP-908,Parent Key_NGP-909,Parent Key_NGP-911,Parent Key_NGP-926,Parent Key_NGP-960,Priority_Low,Priority_Medium,Story Points_2.0,Story Points_3.0,Story Points_5.0,Story Points_8.0,Story Points_13.0,Assignee_Alex Borse,Assignee_Anahi Callejas,Assignee_Brayan Huber Gonzales Velasquez,Assignee_Daniel Pacheco,Assignee_David Soliz,Assignee_Diego Penaranda,Assignee_Diego Villarroel,Assignee_Eduardo Morato Muñoz,Assignee_Fidel Rojas,Assignee_Freddy Aguilar,Assignee_Gabriel Gonzales,Assignee_Heidi Raidma,Assignee_Huascar Mamani,Assignee_Indrek Ilves,Assignee_Jaanis Eller,Assignee_Jako Keskküla,Assignee_Jan Kübe,Assignee_Jorge Luis Cameo,Assignee_Juan Carlos Condori,Assignee_Juan.hernandez,Assignee_Kaisa Telve-Mahlberg,Assignee_Karolin Laas,Assignee_Luhana González,Assignee_Margo Janisk,Assignee_Mark Taylor,Assignee_Nelson Araoz,Assignee_Nikayla Bryant,Assignee_Pablo Michael Tardio Ventura,Assignee_Rafael Rojas,Assignee_Roman Normann,Assignee_Sachin Marne,Assignee_Stella Martins,Assignee_Tanel Talvik,Assignee_Umesh Nawathe,Assignee_Unassigned,Assignee_Vany Loredo,Assignee_Vicente Rodriguez,Assignee_ariel.arias,Assignee_bryan.fernandez,Assignee_jossy.gutierrez,Assignee_mauricio.gamarra,Assignee_rain.tougjas,Assignee_ricardo.pari,Issue Type_Story,Issue Type_Sub-task,Issue Type_Task,Sprint_Aether Sprint 3,Sprint_Aether Sprint 4,Sprint_Aether Sprint 5,Sprint_Buzz #1: 8/8 - 8/22,Sprint_Buzz #2: 8/22 - 9/5,Sprint_Buzz #3: 9/5 - 9/19,Sprint_Buzz #4 9/19 - 10/03,Sprint_Buzz #5: 10/3 - 10/17,Sprint_Howl Sprint 1,Sprint_Howl Sprint 2,Sprint_Howl Sprint 3,Sprint_Howl Sprint 4,Sprint_Howl Sprint 5,Sprint_Meow #10: 6/10 - 6/20,Sprint_Meow #11: 6/20 - 7/8,Sprint_Meow #12: 7/8 - 7/22,Sprint_Meow #13: 7/22 - 8/5,Sprint_Meow #7: 4/29 - 5/13,Sprint_Meow #8: 5/13 - 5/27,Sprint_Meow #9: 5/28 - 6/10,Sprint_NGP-4 Sprint 8 (5/1-5/14),Sprint_Panda #10: 7/01 - 7/15,Sprint_Panda #11: 7/15 - 7/29,Sprint_Panda #12: 7/29 - 8/5,Sprint_Panda #4: 4/08 - 4/22,Sprint_Panda #5: 4/22 - 5/06,Sprint_Panda #6: 5/06 - 5/20,Sprint_Panda #7: 5/20 - 6/03,Sprint_Panda #8: 6/03 - 06/17,Sprint_Panda #9: 6/17 - 07/01,Sprint_Quack #1: 8/14 - 8/28,Sprint_Quack #2: 8/28 - 9/11,Sprint_Quack #3: 9/11 - 9/25,Sprint_Quack #4: 9/25 - 10/9,Sprint_Quack #5: 10/9 - 10/23,Sprint_Roar Sprint 1,Sprint_Roar Sprint 2,Sprint_Roar Sprint 3,Sprint_Roar Sprint 4,Sprint_Swifty Sprint 10,Sprint_Swifty Sprint 11,Sprint_Swifty Sprint 12,Sprint_Swifty Sprint 13,Sprint_Swifty Sprint 9 (5/15-5/28),Sprint_Team Aether Sprint 10,Sprint_Team Aether Sprint 11,Sprint_Team Aether Sprint 12,Sprint_Team Aether Sprint 13,Sprint_Team Aether Sprint 14,Sprint_Team Aether Sprint 15,Sprint_Team Aether Sprint 8,Sprint_Team Aether Sprint 9,Sprint_Team Woof Sprint 1,Sprint_Team Woof Sprint 10,Sprint_Team Woof Sprint 11,Sprint_Team Woof Sprint 12,Sprint_Team Woof Sprint 13,Sprint_Team Woof Sprint 14,Sprint_Team Woof Sprint 6,Sprint_Team Woof Sprint 8,Sprint_Team Woof Sprint 9,Sprint_Woof Sprint 2,Sprint_Woof Sprint 3,Sprint_Woof Sprint 4,Sprint_Woof Sprint 5,Team_Team Buzz,Team_Team Howl,Team_Team Meow,Team_Team Panda,Team_Team Quack,Team_Team Roar,Team_Team Woof,Complexity_Low,Complexity_Medium
NGP-1937,0.021192248054274814,0,5.1599545102086684e-05,1.0,0.7272727272727273,0.16129032258064518,0.030303030303030304,0.001974098133990897,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NGP-1939,0.09452276738056205,0,5.7843754980666975e-05,0.0,0.9090909090909092,0.3010752688172043,0.27272727272727276,0.0013445553234597708,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
NGP-1941,0.010211628228567153,0,0.00032125445662976263,0.0,0.9090909090909092,0.4408602150537635,0.030303030303030304,0.0023275098957389138,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NGP-1942,0.010451785014063058,0,0.00010462426827760283,1.0,0.8181818181818182,0.2903225806451613,0.10606060606060606,0.006597083102753479,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NGP-1943,0.11883648568730201,0,2.7605419824561675e-05,1.0,0.8181818181818182,0.2688172043010753,0.045454545454545456,0.004496999051188922,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NGP-1944,0.054169929840287,0,4.0373334893186514e-05,1.0,0.8181818181818182,0.6666666666666667,0.2878787878787879,0.0016563850767837111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NGP-1945,0.0768237514214218,0,7.117007039220451e-05,1.0,0.8181818181818182,0.6666666666666667,0.2878787878787879,0.0016563850767837111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NGP-1947,0.1537087192288668,0,7.114172603721746e-06,1.0,0.8181818181818182,0.19354838709677422,0.015151515151515152,0.0003182154076885696,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NGP-1950,0.010441018531181128,0,0.000104732153862719,0.0,0.9090909090909092,0.3548387096774194,0.030303030303030304,0.003838747541645943,0.1818181818181818,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NGP-1951,0.0012465764407583783,0,0.00087721083403911,0.0,0.9090909090909092,0.3548387096774194,0.030303030303030304,0.003838747541645943,0.1818181818181818,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NGP-1952,0.03275439148907397,0,3.338515263383626e-05,1.0,0.8181818181818182,0.38709677419354843,0.06060606060606061,0.006379001034717222,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NGP-1954,0.01931197415645477,0,0.00016987031213362586,1.0,0.8181818181818182,0.6666666666666667,0.2878787878787879,0.0016563850767837111,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NGP-1955,0.0020527649337367007,0,0.0005327012076831502,1.0,0.8181818181818182,0.13978494623655915,0.015151515151515152,0.0031049310459551295,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NGP-1956,0.02408975554636753,0,4.5393169606324696e-05,1.0,0.8181818181818182,0.13978494623655915,0.0,0.0031049310459551295,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NGP-1957,0.001821022649873256,0,0.0006004924537140003,1.0,0.8181818181818182,0.13978494623655915,0.015151515151515152,0.0031049310459551295,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NGP-1959,0.06481382041680372,0,1.6871561532078074e-05,1.0,0.8181818181818182,0.13978494623655915,0.015151515151515152,0.0031049310459551295,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NGP-1960,0.12023436728425749,0,9.094823584889754e-06,1.0,0.8181818181818182,0.13978494623655915,0.015151515151515152,0.0031049310459551295,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
